[10000, 0.031836900001508184, 0.014020599999639671, 0.028471399999034475, 0.022824100000434555]
[20000, 0.06828239999958896, 0.03097130000060133, 0.05875170000035723, 0.04932349999944563]
[30000, 0.10854260000087379, 0.0478597000001173, 0.09346369999911985, 0.08434160000069824]
[40000, 0.15231429999948887, 0.07016339999972843, 0.12539659999856667, 0.10651739999957499]
[50000, 0.19432469999992463, 0.09061939999992319, 0.17603760000019975, 0.1884583000010025]
[60000, 0.23993239999981597, 0.12540640000042913, 0.19473310000103083, 0.17976900000030582]
[70000, 0.2869234999998298, 0.13712029999987863, 0.22936350000054517, 0.19267869999930554]
[80000, 0.32659349999994447, 0.1613532999999734, 0.2671017999982723, 0.2241900999997597]
[90000, 0.38716999999996915, 0.18834160000005795, 0.3063022999995155, 0.2620537000002514]
[100000, 0.41406800000004296, 0.21505049999905168, 0.34202170000025944, 0.3122196000003896]
[200000, 0.9307841999998345, 0.5620507000003272, 0.7300107999999454, 0.6705944999994244]
[300000, 1.5221184999991237, 0.9619028000015533, 1.1521358999998483, 1.0785245999995823]
[400000, 2.124234400000205, 1.52579969999897, 1.591133500000069, 1.5236844000010024]
[500000, 2.773568599999635, 2.2067490000008547, 2.099944700001288, 2.055263099999138]
[600000, 3.3677411999997275, 2.9258802000003925, 2.4652033999991545, 2.2498202999995556]
[700000, 3.867372400000022, 3.6606561000007787, 2.8783243000016228, 2.7045306999989407]
[800000, 4.564678799999456, 4.779481399998986, 3.3605091000008542, 3.2394002999990335]
[900000, 5.193006999999852, 5.8585335000007035, 3.8290589999996882, 3.7551997999999003]
[1000000, 6.00592719999986, 6.934797999998409, 4.280087800001638, 4.3024150999990525]
